BG Original;roll_width;Centro;Regression_(2024, 2);Regression_(2024, 3);Regression_(2024, 4);Regression_(2024, 5);Regression_(2024, 6);Regression_(2024, 7);Regression_(2024, 8);Regression_(2024, 9);Regression_(2024, 10);Regression_(2024, 11);Regression_(2024, 12);Regression_(2025, 1);Regression_(2025, 2);Regression_(2025, 3);Regression_(2025, 4);Regression_(2025, 5);Regression_(2025, 6);Regression_(2025, 7);Regression_(2025, 8);Regression_(2025, 9);Regression_(2025, 10);Regression_(2025, 11);Regression_(2025, 12);Regression_(2026, 1)
B 185-160-185/PD;2190;B123;2.675637489346627e-13;0.0;0.0;0.0;0.0;0.0;1.352490479443547e-13;205.138656;0.0;2.831982521429202e-14;0.0;0.0;2.675637489346627e-13;0.0;0.0;0.0;0.0;0.0;1.352490479443547e-13;205.138656;0.0;2.831982521429202e-14;0.0;0.0
Z 355-355;1410;B109;31291.59219671494;18032.72388353593;29662.63916128231;33801.09874170256;26954.85844544976;24166.57015868148;26423.72113192601;10051.18977009588;17628.81767261094;3558.577514981389;29001.77594922608;34392.3683971293;31291.59219671494;18032.72388353593;29662.63916128231;33801.09874170256;26954.85844544976;24166.57015868148;26423.72113192601;10051.18977009588;17628.81767261094;3558.577514981389;29001.77594922608;34392.3683971293
C 160-120-160/PD;1800;B105;0.0;0.0;0.0;2909.678530967996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2909.678530967996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CB 160-120-120-120-160;1970;B109;91784.24824809674;22827.78064910895;60317.09483912203;106674.7490348771;31983.50462249227;107539.8667591004;73471.30564404998;32144.71325546314;30332.37271522081;78387.9956667076;71578.27234793329;49800.48135795329;91784.24824809674;22827.78064910895;60317.09483912203;106674.7490348771;31983.50462249227;107539.8667591004;73471.30564404998;32144.71325546314;30332.37271522081;78387.9956667076;71578.27234793329;49800.48135795329
C 120-120-120;1970;B109;33177.24206873099;119581.1194007242;149679.12798096;165104.1688166531;134341.1208086436;78439.46636101541;120741.2866082972;82594.0870514045;56404.93681323072;63835.24097394587;73871.63563721148;36240.06503264272;33177.24206873099;119581.1194007242;149679.12798096;165104.1688166531;134341.1208086436;78439.46636101541;120741.2866082972;82594.0870514045;56404.93681323072;63835.24097394587;73871.63563721148;36240.06503264272
BC 100-100-100-100-100;2450;B123;16218.81366539123;13563.793357546;28413.07417699284;28390.67674909576;28796.03826409503;14986.94970539452;43628.22795979643;11702.50394623078;23426.52448213852;21095.7169718804;8809.562470225943;1987.496388557896;16218.81366539123;13563.793357546;28413.07417699284;28390.67674909576;28796.03826409503;14986.94970539452;43628.22795979643;11702.50394623078;23426.52448213852;21095.7169718804;8809.562470225943;1987.496388557896
