BG Original;roll_width;Centro;mean;Mixed_(2024, 2);Mixed_(2024, 3);Mixed_(2024, 4);Mixed_(2024, 5);Mixed_(2024, 6);Mixed_(2024, 7);Mixed_(2024, 8);Mixed_(2024, 9);Mixed_(2024, 10);Mixed_(2024, 11);Mixed_(2024, 12);Mixed_(2025, 1);Mixed_(2025, 2);Mixed_(2025, 3);Mixed_(2025, 4);Mixed_(2025, 5);Mixed_(2025, 6);Mixed_(2025, 7);Mixed_(2025, 8);Mixed_(2025, 9);Mixed_(2025, 10);Mixed_(2025, 11);Mixed_(2025, 12);Mixed_(2026, 1);best model
B 185-160-185/PD;2190;B123;410.277312;2.675637489346627e-13;0.0;0.0;0.0;0.0;0.0;1.352490479443547e-13;205.138656;0.0;2.831982521429202e-14;0.0;0.0;2.675637489346627e-13;0.0;0.0;0.0;0.0;0.0;1.352490479443547e-13;205.138656;0.0;2.831982521429202e-14;0.0;0.0;Regression
Z 355-355;1410;B109;28398.45641577143;37689.8132526;28828.81618106364;40915.85374305228;57159.25917866363;28328.4428544;36094.69662474999;32663.60866929999;38616.4114009;15061.916582525;32709.61570542272;18120.45201315;27959.97755819999;37689.8132526;28828.81618106364;40915.85374305228;57159.25917866363;28328.4428544;36094.69662474999;32663.60866929999;38616.4114009;15061.916582525;32709.61570542272;18120.45201315;27959.97755819999;Decompose
C 160-120-160/PD;1800;B105;5819.357061936;0.0;0.0;0.0;2909.678530967996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2909.678530967996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Regression
CB 160-120-120-120-160;1970;B109;84428.63614312543;91784.24824809674;22827.78064910895;60317.09483912203;106674.7490348771;31983.50462249227;107539.8667591004;73471.30564404998;32144.71325546314;30332.37271522081;78387.9956667076;71578.27234793329;49800.48135795329;91784.24824809674;22827.78064910895;60317.09483912203;106674.7490348771;31983.50462249227;107539.8667591004;73471.30564404998;32144.71325546314;30332.37271522081;78387.9956667076;71578.27234793329;49800.48135795329;Regression
C 120-120-120;1970;B109;149162.5154146556;33177.24206873099;119581.1194007242;149679.12798096;165104.1688166531;134341.1208086436;78439.46636101541;120741.2866082972;82594.0870514045;56404.93681323072;63835.24097394587;73871.63563721148;36240.06503264272;33177.24206873099;119581.1194007242;149679.12798096;165104.1688166531;134341.1208086436;78439.46636101541;120741.2866082972;82594.0870514045;56404.93681323072;63835.24097394587;73871.63563721148;36240.06503264272;Regression
BC 100-100-100-100-100;2450;B123;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;25283.29108370323;Sarima
